"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00058457","HANGZHOU, CH","1958-08","1764","520","16","8","0","0","0","31","15","70","0.81","98","0","0","3.23","81.8","88.0","75.5"
"CHM00058457","HANGZHOU, CH","1958-09","2047","283","15","11","0","0","0","29","2","56","3.60","91","1","1","12.79","74.4","80.3","68.5"
"CHM00058457","HANGZHOU, CH","1958-10","2091","43","13","9","0","0","0","9","0","34","0.76","86","172","171","4.64","60.9","67.9","53.8"
"CHM00058457","HANGZHOU, CH","1958-11","2094","3","4","1","0","0","0","3","0","33","0.38","79","558","386","0.50","52.2","60.7","43.8"
"CHM00058457","HANGZHOU, CH","1958-12","2094","0","4","2","0","6","0","0","0","30","0.32","67","1143","585","0.63","46.1","55.9","36.4"
"CHM00058457","HANGZHOU, CH","1959-01","0","0","10","6","0","19","0","0","0","20","0.74","65","1982","839","2.46","37.9","45.1","30.7"
"CHM00058457","HANGZHOU, CH","1959-02","0","0","19","17","0","1","0","0","0","32","1.78","58","2605","622","7.27","42.8","46.9","38.6"
"CHM00058457","HANGZHOU, CH","1959-03","2","2","11","6","0","0","0","6","0","35","0.93","75","2971","366","2.74","53.3","60.4","46.1"
"CHM00058457","HANGZHOU, CH","1959-04","19","17","13","8","0","0","0","15","0","44","2.60","81","3114","143","5.92","60.8","68.1","53.5"
"CHM00058457","HANGZHOU, CH","1959-05","137","118","17","13","0","0","0","20","2","53","2.30","93","3146","32","9.99","67.8","74.7","60.9"
"CHM00058457","HANGZHOU, CH","1959-06","500","363","11","8","0","0","0","30","3","61","1.55","94","3146","0","6.33","77.1","84.2","70.0"
"CHM00058457","HANGZHOU, CH","1959-07","1134","634","8","7","0","0","0","31","23","72","1.29","100","0","0","3.58","85.4","92.9","78.0"
"CHM00058457","HANGZHOU, CH","1959-08","1740","606","10","9","0","0","0","31","19","71","2.28","100","0","0","5.05","84.6","92.1","77.1"
"CHM00058457","HANGZHOU, CH","1959-09","2025","285","13","11","0","0","0","30","0","55","2.15","89","0","0","9.71","74.5","81.1","67.8"
"CHM00058457","HANGZHOU, CH","1959-10","2069","44","3","2","0","0","0","25","0","44","0.23","85","33","33","0.47","65.4","75.2","55.5"
"CHM00058457","HANGZHOU, CH","1959-11","2070","1","14","8","0","2","0","3","0","31","0.71","73","358","325","3.74","54.2","61.0","47.3"
"CHM00058457","HANGZHOU, CH","1959-12","2070","0","15","8","0","6","0","0","0","28","0.54","63","972","614","2.45","45.2","50.1","40.3"
"CHM00058457","HANGZHOU, CH","1960-01","0","0","12","8","0","15","1","0","0","24","0.94","69","1731","759","3.22","40.5","47.2","33.8"
"CHM00058457","HANGZHOU, CH","1960-02","0","0","7","3","0","6","0","5","0","29","0.27","74","2262","531","0.79","46.7","56.0","37.4"
"CHM00058457","HANGZHOU, CH","1960-03","10","10","18","15","0","0","0","5","0","34","2.39","84","2606","343","7.61","54.2","60.2","48.2"
"CHM00058457","HANGZHOU, CH","1960-04","38","28","11","8","0","0","0","12","0","36","1.84","82","2810","205","5.67","59.1","67.1","51.2"
"CHM00058457","HANGZHOU, CH","1960-05","193","155","13","9","0","0","0","24","1","50","1.47","90","2860","50","6.01","68.4","76.4","60.4"
"CHM00058457","HANGZHOU, CH","1960-06","576","383","14","10","0","0","0","29","7","61","1.37","97","2860","0","5.22","77.8","84.4","71.1"
"CHM00058457","HANGZHOU, CH","1960-07","1245","669","10","7","0","0","0","31","29","73","1.38","101","0","0","3.88","86.6","95.1","78.1"
"CHM00058457","HANGZHOU, CH","1960-08","1745","500","17","12","0","0","0","31","3","69","3.33","92","0","0","9.15","81.1","86.6","75.7"
"CHM00058457","HANGZHOU, CH","1960-09","2096","351","14","11","0","0","0","30","6","61","1.44","94","0","0","5.85","76.7","83.3","70.1"
"CHM00058457","HANGZHOU, CH","1960-10","2164","68","3","2","0","0","0","25","0","40","0.22","81","66","66","0.36","65.1","73.3","56.8"
"CHM00058457","HANGZHOU, CH","1960-11","2169","5","11","9","0","1","0","6","0","30","1.89","82","379","313","5.80","54.7","61.7","47.8"
"CHM00058457","HANGZHOU, CH","1960-12","2169","0","6","2","0","11","0","0","0","23","0.74","67","1095","715","1.41","41.9","49.9","33.9"
"CHM00058457","HANGZHOU, CH","1961-01","0","0","9","6","0","16","0","0","0","24","0.57","63","1866","771","2.43","40.1","47.4","32.8"
"CHM00058457","HANGZHOU, CH","1961-02","0","0","10","7","0","8","0","0","0","25","1.29","63","2497","631","3.39","42.5","49.2","35.7"
"CHM00058457","HANGZHOU, CH","1961-03","0","0","17","12","0","0","0","6","0","36","0.80","77","2939","442","4.29","50.7","57.6","43.9"
